,sentence
177,"Laking|JJD_CCP tuwa|NNC ang|DTC naramdaman|VBTS ni|DTP Ningning|NNP nang|RBW may|VBH dumapong|VBTR_VBAF_CCP tutubi|NNC sa|CCT kaniyang|PRSP_CCP ilong|NNC .|PMP
"
178,"Masaya|NNP siya|PRS dahil|CCR nabuhay|VBTS si|DTP Bituon|NNP at|CCA nakita|VBTS niya|PRS ang|DTC matamis|JJD na|CCP ngiti|NNC ni|DTP Marie|NNP .|PMP
"
179,"Mas|JJCC lalong|JJCC_CCP naging|VBTS masaya|JJD siya|PRS dahil|CCR nagbago|VBTS na|RBI ang|DTC ugali|NNC ni|DTP Balabaw|NNP .|PMP
"
180,"Sa|CCT sobrang|JJCS_CCP kasiyahan|NNC ni|DTP Ningning|NNP ,|PMC may|VBH gumuhit|VBAF na|CCP ngiti|NNC sa|CCT kaniyang|PRSP_CCP mga|DTCP labi|NNC .|PMP
"
181,"Talasalitaan|NNP :|PMS Bituon|NNP -|PMS bituin|NNC Balabaw|NNP -|PMS daga|NNC Si|DTP Mina|NNP at|CCA Manay|NNP ay|LM nakauwi|VBTS na|CCP galing|RBL sa|CCT Zoo|NNP .|PMP
"
182,"Ako|PRS ay|LM unggoy|NNC ngayon|RBW .|PMP
"
183,"Ako|PRS ay|LM pagong|NNC ngayon|RBW .|PMP
"
184,"Ako|PRS ay|LM elepante|NNC ngayon|RBW .|PMP
"
185,"Isa|PRI akong|PRS_CCP ibon|NNC ngayon|RBW .|PMP
"
186,"Isa|PRI akong|PRS_CCP rhino|NNC ngayon|RBW .|PMP
"
187,"Isa|PRI akong|PRS_CCP kuneho|NNC ngayon|RBW .|PMP
"
188,"Isa|PRI akong|PRS_CCP tigre|NNC ngayon|RBW .|PMP
"
189,"Oras|NNP na|CCP para|CCT matulog|VBW .|PMP
"
190,"Dumating|VBAF si|DTP nanay|NNC para|CCT patayin|VBOF ang|DTC ilaw|NNC .|PMP
"
191,"Iminulat|VBTS ni|DTP Mina|NNP ang|DTC kaniyang|PRSP_CCP mga|DTCP mata|NNC at|CCA sinabing|VBTS ,|PMC ""|PMS Ngayon|RBW ,|PMC Isa|PRI akong|PRS_CCP kuwago|NNC .|PMP  
"
192,"""|PMS May|VBH nakita|VBTS si|DTP Muning|NNP na|CCP bagay|NNC na|CCP pagulong|NNC -|PMS gulong|NNC sa|CCT sahig|NNC .|PMP
"
193,"Bilog|JJD ito|PRO .|PMP
"
194,"Pula|NNP ang|DTC kulay|NNC .|PMP
"
195,"Pinulot|VBOF ni|DTP Muning|NNP ang|DTC pulang|JJD_CCP bilog|NNC at|CCA pinagulong|VBRF_CCP -|PMS gulong|NNC sa|CCT sahig|NNC .|PMP
"
196,"Hinila|VBOF niya|PRS ang|DTC buntot|NNC .|PMP
"
197,"Ay|NNP !|PMS
"
198,"Ang|DTC haba|NNC pala|NNC ng|CCB buntot|NNC ng|CCB pulang|JJD_CCP bilog|NNC !|PMS
"
199,"Kinagat|VBTS ni|DTP Muning|NNP ang|DTC buntot|NNC ng|CCB pulang|JJD_CCP bilog|NNC at|CCA umikot|VBAF -|PMS ikot|NNC siya|PRS .|PMP
"
200,"Ay|NNP !|PMS
"
201,"Napuluputan|VBTS si|DTP Muning|NNP !|PMS
"
202,"ΓÇ£|PMS Muning|FW ,|PMC rolyo|NNC ito|PRO ng|CCB sinulid|NNC .|PMP
"
203,"Mag|NNP -|PMS ingat|NNC ka|PRS sa|CCT paggamit|NNC nito|PRO .|PMP
"
204,"Tingnan|VBOF mo|PRS ang|DTC nangyari|VBTS .|PMP
"
205,"Napuluputan|VBTR ka|PRS ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Ben|NNP .|PMP
"
206,"Lumabas|VBAF sa|CCT balkonahe|NNC si|DTP Muning|NNP .|PMP
"
207,"Nagpahangin|VBTS siya|PRS sa|CCT pasamano|NNC .|PMP
"
208,"ΓÇ£|PMS Hmmm|FW ,|PMC ang|DTC presko|JJD dito|PRL !|PMQ
"
209,"ΓÇ¥|PMS May|VBH tumahol|VBAF kay|DTP Muning|NNP .|PMP
"
210,"ΓÇ£|PMS Aw|NNC ,|PMC aw|NNC ,|PMC aw|NNC !|PMS
"
211,"Grrrrr|NNP !|PMS
"
212,"ΓÇ¥|PMS Natakot|VBTS si|DTP Muning|NNP .|PMP
"
213,"Tumakbo|VBAF siya|PRS papasok|RBD .|PMP
"
214,"ΓÇ£|PMS Ano|PRQ ba|RBI yun|PRO ?|PMQ
"
215,"Grabe|NNP ang|DTC kaba|NNC ko|PRS !|PMQ
"
216,"ΓÇ¥|FW humihingal|FW na|CCP sabi|VBS ni|DTP Muning|NNP Lumabas|VBAF si|DTP Muning|NNP at|CCA kinausap|VBOF ang|DTC aso|NNC ,|PMC ΓÇ£|PMS Ako|PRS si|DTP Muning|NNP ,|PMC Anong|PRQ_CCP pangalan|NNC mo|PRS ?|PMQ
"
217,"ΓÇ¥|PMS ΓÇ£|CDB Ako|PRS si|DTP Edu|NNP .|PMP
"
218,"May|VBH dalawang|JJN_CCP malalaking|JJD_CCP pusa|NNC dito|PRL sa|CCT bahay|NNC .|PMP
"
219,"Kaano|NNP -|PMS ano|PRQ mo|PRS sila|PRP ?|PMQ
"
220,"ΓÇ£|PMS Baka|NNP nanay|NNC at|CCA tatay|NNC ko|PRS yun|PRO ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Muning|NNP .|PMP
"
221,"ΓÇ£|PMS Lagi|RBW ko|PRS silang|PRP_CCP hinahabol|VBTR kapag|CCR kinukuha|VBTR nila|PRP ang|DTC ulam|NNC ko|PRS ,|PMC ΓÇ¥|CDB sumbong|NNC ni|DTP Edu|NNP .|PMP
"
222,"ΓÇ£|PMS Pasensya|NNC ka|PRS na|CCP ,|PMC Edu|NNP .|PMP
"
223,"Salamat|RBS at|CCA hindi|RBF mo|PRS ako|PRS hinabol|VBOF .|PMP
"
224,"ΓÇ¥|PMS ΓÇ£|CDB Ganyan|NNP nga|RBI ,|PMC Muning|NNP at|CCA Edu|NNP ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Ben|NNP .|PMP
"
225,"ΓÇ£|PMS Dapat|VBS magkaibigan|NNC kayo|PRP dahil|CCR mga|DTCP alaga|NNC ko|PRS kayo|PRP .|PMP
"
226,"ΓÇ¥|PMS May|VBH narinig|VBTS na|CCP boses|NNC si|DTP Muning|NNP .|PMP
"
227,"ΓÇ£|PMS Tulong|NNC !|PMS
"
228,"Tulong|NNC !|PMS
"
229,"ΓÇ¥|PMS sabi|VBS ng|CCB boses|NNC .|PMP
"
230,"Nakita|VBTS ni|DTP Muning|NNP na|CCP may|VBH naipit|VBTS na|CCP daga|NNC sa|CCT bitag|NNC .|PMP
"
231,"Lumapit|VBAF si|DTP Muning|NNP .|PMP
"
232,"Umikot|NNP -|PMS ikot|NNC sa|CCT bitag|NNC .|PMP
"
233,"Kinain|VBOF pala|NNC ng|CCB daga|NNC ang|DTC keso|NNC sa|CCT bitag|NNC .|PMP
"
234,"Naipit|VBTS ito|PRO at|CCA nasugatan|VBTS .|PMP
"
235,"Natakot|VBTS ang|DTC daga|NNC nang|RBW lumapit|VBAF si|DTP Muning|NNP .|PMP
"
236,"Alam|VBS niyang|PRS_CCP pusa|NNC si|DTP Muning|NNP .|PMP
"
237,"Ngunit|CCT sa|CCT tingin|NNC niya|PRS ay|LM mabait|JJD naman|RBI ito|PRO .|PMP
"
238,"ΓÇ£|PMS Ako|PRS si|DTP Mikoy|NNP .|PMP
"
239,"Maawa|VBTF ka|PRS ,|PMC huwag|RBF mo|PRS akong|PRS_CCP kainin|VBOF .|PMP
"
240,"ΓÇ¥|PMS ΓÇ£|CDB Huwag|RBF kang|PRS_CCP matakot|VBW ,|PMC Mikoy|NNP .|PMP
"
241,"Ako|PRS si|DTP Muning|NNP .|PMP
"
242,"Nandito|VBTS ako|PRS para|CCT tulungan|VBTF_VBOF ka|PRS .|PMP
"
243,"ΓÇ¥|PMS Nagpagulong|VBTS -|PMS gulong|NNC si|DTP Muning|NNP sa|CCT damuhan|NNC .|PMP
"
244,"Tumalon|NNP -|PMS talon|NNC sa|CCT mga|DTCP bulaklak|NNC .|PMP
"
245,"Ay|NNP !|PMS
"
246,"May|VBH naapakan|VBTS siya|PRS !|PMQ
"
247,"Maliit|JJD na|CCP ibon|NNC .|PMP
"
248,"Inamoy|VBTS niya|PRS .|PMP
"
249,"ΓÇ£|PMS Naku|NNP ,|PMC parang|CCT patay|JJD na|CCP !|PMS
"
250,"ΓÇ¥|PMS Pinulot|VBTS niya|PRS ito|PRO at|CCA dinala|VBTS sa|CCT bahay|NNC .|PMP
"
251,"ΓÇ£|PMS Huwag|RBF !|PMQ
"
252,"Huwag|RBF mo|PRS akong|PRS_CCP kainin|VBOF !|PMQ
"
253,"ΓÇ¥|PMS sabi|VBS ng|CCB ibon|NNC nang|RBW magkamalay|VBW ito|PRO .|PMP
"
254,"ΓÇ£|PMS Payat|JJD ako|PRS ,|PMC matitinik|JJD o|CCT mabubulunan|VBTF ka|PRS lang|RBI .|PMP
"
255,"ΓÇ¥|PMS ΓÇ£|CDB Hindi|RBF kita|NNC kakainin|VBTF .|PMP
"
256,"Ako|PRS si|DTP Muning|NNP .|PMP
"
257,"Anong|PRQ_CCP pangalan|NNC mo|PRS ?|PMQ
"
258,"ΓÇ¥|PMS tanong|NNC ni|DTP Muning|NNP .|PMP
"
259,"ΓÇ£|PMS A|NNPA -|PMS ako|PRS si|DTP T|NNPA -|PMS tamsi|FW ,|PMC ΓÇ¥|FW nanginginig|VBTR na|CCP sagot|NNC ng|CCB ibon|NNC .|PMP
"
260,"ΓÇ£|PMS Akala|VBS ko|PRS patay|JJD ka|PRS na|CCP ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Muning|NNP .|PMP
"
261,"ΓÇ£|PMS Nawalan|VBTS ako|PRS ng|CCB malay|NNC dahil|CCR nabangga|VBTR ako|PRS sa|CCT puno|NNC at|CCA nahulog|VBTS .|PMP
"
262,"Sandali|RBW lang|RBI ,|PMC nasaan|JJD ako|PRS ?|PMQ
"
263,"ΓÇ¥|PMS ΓÇ£|CDB Nandito|VBTS ka|PRS sa|CCT aming|PRSP_CCP bahay|NNC .|PMP
"
264,"Sige|NNP ,|PMC Magpahinga|VBW ka|PRS muna|RBI ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Muning|NNP .|PMP
"
265,"Isang|PRI_CCP araw|NNC ,|PMC namasyal|VBTS si|DTP Muning|NNP sa|CCT katabing|JJD_CCP bakuran|NNC .|PMP
"
266,"Nakakita|VBTS siya|PRS ng|CCB isang|PRI_CCP mahabang|JJD_CCP bagay|NNC .|PMP
"
267,"Gumagapang|NNP_CCP ito|PRO sa|CCT damuhan|NNC .|PMP
"
268,"ΓÇ£|PMS Sssss|NNP .┬á.┬á.|NNPA Sssss|NNP .┬á.┬á.|NNPA ΓÇ¥|PMS ang|DTC tunog|NNC ng|CCB hayop|NNC ,|PMC iyon|PRO pala|NNC ahas|NNC !|PMS
"
269,"Sinundan|VBTS ni|DTP Muning|NNP ang|DTC ahas|NNC .|PMP
"
270,"Pumunta|VBAF ito|PRO sa|CCT kahoy|NNC .|PMP
"
271,"Gumapang|NNP_CCP pataas|NNC ng|CCB puno|NNC .|PMP
"
272,"Inakyat|VBTS din|RBI ni|DTP Muning|NNP ang|DTC puno|NNC .|PMP
"
273,"May|VBH pugad|NNC dito|PRL .|PMP
"
274,"Dahan|NNP -|PMS dahang|NNC_CCP pinasok|VBOF ng|CCB ahas|NNC ang|DTC pugad|NNC .|PMP
"
275,"ΓÇ£|PMS Hoy|NNP !|PMS
"
276,"Anong|PRQ_CCP ginagawa|VBTR_VBOF mo|PRS diyan|PRL ?|PMQ
"
277,"ΓÇ¥|PMS sigaw|NNC ni|DTP Muning|NNP .|PMP
"
278,"ΓÇ£|PMS Wala|VBN kang|PRS_CCP pakialam|NNC dito|PRL ,|PMC pusa|NNC .|PMP
"
279,"Umalis|VBAF ka|PRS na|CCP baka|RBM ikaw|PRS pa|RBI ang|DTC puluputan|NNC ko|PRS ,|PMC ΓÇ¥|PMS sagot|NNC ng|CCB ahas|NNC .|PMP
"
280,"ΓÇ£|PMS Maawa|VBTF ka|PRS sa|CCT may|VBH -|PMS ari|NNC ng|CCB pugad|NNC .|PMP
"
281,"Baka|NNP may|VBH mga|DTCP inakay|VBTS o|CCT itlog|NNC diyan|PRL ,|PMC ΓÇ¥|PMS pagmamakaawa|NNC ni|DTP Muning|NNP .|PMP
"
282,"ΓÇ£|PMS Wala|VBN kang|PRS_CCP magagawa|VBTF dahil|CCR nagugutom|VBTR ako|PRS ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB ahas|NNC .|PMP
"
283,"ΓÇ£|PMS Punta|JJN ka|PRS nalang|VBTS sa|CCT aming|PRSP_CCP bahay|NNC ,|PMC may|VBH pagkain|NNC kaming|PRP_CCP masasarap|VBW ,|PMC ΓÇ¥|PMS pag|CCR -|PMS aaya|NNC ni|DTP Muning|NNP .|PMP
"
284,"ΓÇ£|PMS Sssss|NNP .┬á.┬á.|NNPA talaga|RBT ba|RBI ?|PMQ
"
285,"Hindi|RBF ako|PRS aayaw|VBTF ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB ahas|NNC .|PMP
"
286,"Sa|CCT isip|NNC niya|PRS ΓÇÖ|PMS y|FW ,|PMC ΓÇ£|NNCA Hmmm|NNP ,|PMC mas|JJCC masarap|JJD ang|DTC pusa|NNC kesa|NNC sa|CCT itlog|NNC ,|PMC hihihi|NNC .|PMP
"
287,"ΓÇ¥|PMS Pagpasok|NNC nila|PRP ng|CCB bahay|NNC ay|LM pupuluputan|RBD na|CCP sana|VBS ng|CCB ahas|NNC si|DTP Muning|NNP .|PMP
"
288,"Dumating|VBAF ang|DTC dagang|NNC_CCP si|DTP Mikoy|NNP .|PMP
"
289,"Kinagat|VBTS nito|PRO ang|DTC buntot|NNC ng|CCB ahas|NNC at|CCA tumakbo|VBAF palabas|NNC .|PMP
"
290,"Galit|JJD na|CCP sumunod|VBAF ang|DTC ahas|NNC .|PMP
"
291,"Naabutan|VBTR ng|CCB ahas|NNC si|DTP Mikoy|NNP sa|CCT kabilang|JJD_CCP bakuran|NNC .|PMP
"
292,"ΓÇ£|PMS Kawawa|JJD ka|PRS ngayon|RBW ,|PMC daga|NNC .|PMP
"
293,"Hindi|RBF ka|PRS na|CCP makakawala|VBW ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB ahas|NNC .|PMP
"
294,"Dumating|VBAF si|DTP Edu|NNP at|CCA Muning|NNP !|PMS
"
295,"Dala|VBS -|PMS dala|JJD ni|DTP Muning|NNP ang|DTC pulang|JJD_CCP sinulid|NNC .|PMP
"
296,"ΓÇ£|PMS Dali|JJD ,|PMC Edu|NNP !|PMS
"
297,"Itali|NNP natin|PRP ang|DTC ahas|NNC para|CCT di|RBF siya|PRS makagalaw|VBTF !|PMQ
"
298,"ΓÇ¥|PMS sigaw|NNC ni|DTP Muning|NNP sa|CCT aso|NNC .|PMP
"
299,"Ihinagis|VBTS ni|DTP Muning|NNP ang|DTC sinulid|NNC pataas|NNC .|PMP
"
300,"Tinuka|VBOF ni|DTP Tamsi|NNP ang|DTC dulo|NNC ng|CCB sinulid|NNC .|PMP
"
301,"Ipinasa|VBOF naman|RBI nito|PRO ang|DTC sinulid|NNC kay|DTP Edu|NNP .|PMP
"
302,"Sinalo|VBOF ni|DTP Edu|NNP at|CCA umikot|VBAF -|PMS ikot|NNC sa|CCT ahas|NNC upang|CCB mapuluputan|VBW ito|PRO ng|CCB sinulid|NNC .|PMP
"
303,"Muntik|JJD pang|RBI_CCP makawala|VBW ang|DTC ahas|NNC ,|PMC ngunit|CCT kinagat|VBOF at|CCA hinigpitan|VBOF pa|RBI ni|DTP Mikoy|NNP ang|DTC sinulid|NNC sa|CCT kaniyang|PRSP_CCP katawan|NNC .|PMP
"
304,"Hanggang|RBW sa|CCT di|RBF na|CCP makagalaw|JJD ang|DTC ahas|NNC .|PMP
"
305,"Mula|RBW sa|CCT bintana|NNC ay|LM natanaw|VBTS ni|DTP Ben|NNP ang|DTC mga|DTCP nangyari|VBTS .|PMP
"
306,"Kumuha|VBAF siya|PRS agad|RBW ng|CCB sako|NNC at|CCA dali|NNC -|PMS daling|RBD_CCP tumungo|VBAF sa|CCT kabilang|JJD_CCP bakuran|NNC .|PMP
"
307,"Hinawakan|VBOF niya|PRS ang|DTC ahas|NNC na|CCP pinuluputan|VBTR ng|CCB sinulid|NNC at|CCA maingat|RBD na|CCP ipinasok|VBOF sa|CCT sako|NNC .|PMP
"
308,"ΓÇ£|PMS Kawawa|JJD ka|PRS naman|RBI ,|PMC ΓÇ¥|PMS sabi|VBS ni|DTP Ben|NNP sa|CCT ahas|NNC .|PMP
"
309,"ΓÇ£|PMS Dadalhin|VBTF_VBOF kita|NNC sa|CCT animal|FW rescue|FW center|FW .|PMP
"
310,"ΓÇ¥|PMS Nagdiwang|VBTS si|DTP Muning|NNP at|CCA ang|DTC mga|DTCP kaibigang|NNC_CCP hayop|NNC .|PMP
"
311,"Napalitan|VBTS ng|CCB saya|NNC ang|DTC nakakatakot|VBTR na|CCP kaganapan|NNC kanina|RBW .|PMP
"
312,"Nagpasalamat|VBTR sila|PRP na|CCP walang|VBN_CCP nakain|VBTS ang|DTC ahas|NNC na|CCP sinuman|PRQ sa|CCT kanila|PRSP .|PMP
"
313,"ΓÇ£|PMS Naaamoy|VBTS mo|PRS ΓÇÖ|PMS yon|PRO ?|PMQ
"
314,"ΓÇ¥|PMS tanong|NNC ni|DTP Anopol|NNP habang|RBW nakatingala|VBTS kay|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
315,"ΓÇ£|PMS Oo|RBT ,|PMC naaamoy|VBTR ko|PRS ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA na|CCP nakaharang|JJD kay|DTP Anopol|NNP .|PMP
"
316,"ΓÇ£|PMS Mayroon|VBW na|CCP namang|RBI_CCP nagsusunog|VBTR ,|PMC ΓÇ¥|PMS sabi|VBS pa|RBI niya|PRS .|PMP
"
317,"Lumalapit|VBTR_VBAF at|CCA lumalawak|VBTR_VBAF lalo|JJCC ang|DTC mga|DTCP nagsusunog|VBTR dito|PRL sa|CCT kagubatan|NNC araw|NNC -|PMS araw|NNC ,|PMC ΓÇ¥|CDB nakatatakot|JJD na|CCP sabi|VBS ni|DTP Anopol|NNP .|PMP
"
318,"ΓÇ£|PMS Paano|PRQ na|CCP kung|CCR narito|PRL na|CCP ΓÇÖ|PMS yan|PRO sa|CCT atin|PRSP bukas|JJD ?|PMQ
"
319,"ΓÇ¥|PMS tanong|NNC ni|DTP Anopol|NNP .|PMP
"
320,"ΓÇ£|PMS Di|RBF ko|PRS rin|RBI alam|VBS ,|PMC Anopol|NNP ,|PMC ΓÇ¥|PMS nakatatakot|JJD naman|RBI na|CCP sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
321,"ΓÇ£|PMS Nakikita|VBTR mo|PRS ΓÇÖ|PMS yon|PRO ?|PMQ
"
322,"ΓÇ¥|PMS tanong|NNC ni|DTP Anopol|NNP kay|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
323,"ΓÇ£|PMS Oo|RBT siyempre|RBT ,|PMC nakikita|VBTR ko|PRS ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
324,"ΓÇ£|PMS Gumuguho|NNC na|CCP ang|DTC mga|DTCP bangin|NNC ,|PMC ΓÇ¥|PMS sabi|VBS pa|RBI niya|PRS .|PMP
"
325,"ΓÇ£|PMS Dumadausdos|NNC na|CCP ang|DTC mga|DTCP lupa|NNC doon|PRL sa|CCT itaas|JJD .|PMP
"
326,"Paano|PRQ na|CCP kung|CCR narito|PRL na|CCP ΓÇÖ|PMS yan|PRO sa|CCT atin|PRSP bukas|JJD ?|PMQ
"
327,"ΓÇ¥|PMS di|RBF -|PMS mapakaling|VBW_CCP tanong|NNC ni|DTP Anopol|NNP .|PMP
"
328,"ΓÇ£|PMS Di|RBF ko|PRS rin|RBI alam|VBS ,|PMC ΓÇ¥|PMS nakatatakot|JJD naman|RBI na|CCP sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
329,"ΓÇ£|PMS Naririnig|VBTR mo|PRS ΓÇÖ|PMS yon|PRO ?|PMQ
"
330,"ΓÇ¥|PMS tanong|NNC ni|DTP Anopol|NNP kay|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
331,"ΓÇ£|PMS Naririnig|VBTR ko|PRS ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
332,"ΓÇ£|PMS Meron|VBH na|CCP naman|RBI !|PMQ
"
333,"ΓÇ¥|PMS ΓÇ£|CDB Araw|NNP -|PMS araw|NNC na|CCP lang|RBI ay|LM may|VBH lumalagabog|VBTR_VBAF na|CCP kahoy|NNC ,|PMC ΓÇ¥|NNCA balisang|VBOF_CCP sabi|VBS ni|DTP Anopol|NNP .|PMP
"
334,"ΓÇ£|PMS Paano|PRQ na|CCP kung|CCR narito|PRL na|CCP ΓÇÖ|PMS yan|PRO sa|CCT atin|PRSP bukas|JJD ?|PMQ
"
335,"ΓÇ¥|PMS tanong|NNC ni|DTP Anopol|NNP .|PMP
"
336,"ΓÇ£|PMS Di|RBF ko|PRS rin|RBI alam|VBS ,|PMC Anopol|NNP ,|PMC ΓÇ¥|CDB nakatatakot|JJD na|CCP sagot|NNC ni|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
337,"Di|RBF mapakali|VBW ang|DTC dalawa|JJN kahit|CCT namimilog|VBTR ang|DTC buwan|NNC .|PMP
"
338,"ΓÇ£|PMS Ay|FW tingnan|VBOF mo|PRS ,|PMC may|VBH maliit|JJD na|CCP Rafflesia|NNP ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB isang|PRI_CCP binatang|JJD_CCP kasama|CCB ng|CCB grupong|NNC_CCP Bantay|NNP Bukid|NNP na|CCP nangangalaga|VBTR sa|CCT kabundukan|NNC .|PMP
"
339,"ΓÇ£|PMS Bulaklak|NNC ΓÇÖ|PMS yan|PRO na|CCP Anopol|NNP ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB Agtang|PRQ_CCP kasama|CCB nila|PRP .|PMP
"
340,"ΓÇ£ΓÇ¥|PMS Matatagpuan|VBTF dito|PRL ang|DTC pinakamaliit|JJCS_JJD at|CCA pinakamalaking|JJCS_JJD_CCP mga|DTCP bulaklak|NNC sa|CCT buong|PRI_CCP mundo|NNC ,|PMC ΓÇ¥|PMS sabi|VBS ng|CCB binata|NNC .|PMP
"
341,"ΓÇ£|PMS Meron|VBH pala|NNC niyan|PRO dito|PRL sa|CCT Mt.|NNPA Iriga|NNP ,|PMC ΓÇ¥|PMS masayang|JJD_CCP sabi|NNC niya|PRS .|PMP
"
342,"ΓÇ£|PMS Sabi|VBW ng|CCB mga|DTCP matatanda|NNC ΓÇÖ|PMS yon|PRO nakilala|VBTS noon|RBW ang|DTC Iriga|NNP dahil|CCR dito|PRL kinukuha|VBTR ang|DTC mga|DTCP bulaklak|NNC na|CCP ginagawang|VBTR_CCP pabango|NNC sa|CCT Manila|NNP ,|PMC ΓÇ¥|PMS dagdag|JJD pa|RBI niya|PRS .|PMP
"
343,"ΓÇ£|PMS Naaamoy|VBTS mo|PRS ΓÇÖ|PMS yan|PRO ?|PMQ
"
344,"ΓÇ¥|PMS tanong|NNC ng|CCB binata|NNC doon|PRL na|CCP kasama|CCB niya|PRS .|PMP
"
345,"ΓÇ£|PMS Oo|RBT ,|PMC may|VBH nagsusunog|VBTR na|CCP naman|RBI sa|CCT mga|DTCP talahiban|NNC ,|PMC ΓÇ¥|PMS sagot|NNC naman|RBI ng|CCB isa|PRI .|PMP
"
346,"ΓÇ£|PMS Nakita|VBTS mo|PRS ΓÇÖ|PMS yong|PRO_CCP kaninang|NNC_CCP nadaanan|VBTS nating|PRP_CCP gumuguhong|VBTR_VBAF_CCP lupa|NNC doon|PRL sa|CCT bangin|NNC ?|PMQ
"
347,"ΓÇ¥|PMS tanong|NNC pa|RBI ng|CCB binata|NNC .|PMP
"
348,"ΓÇ£|PMS Binuldoser|FW dahil|CCR ipagbibili|VBOB ang|DTC lupa|NNC ,|PMC ΓÇ¥|PMS sabi|VBS naman|RBI ng|CCB isang|PRI_CCP Agta|NNP .|PMP
"
349,"ΓÇ£|PMS Ang|DTC tunog|NNC ng|CCB chainsaw|NNC ,|PMC malapit|JJD lang|RBI yan|PRO dito|PRL ,|PMC ano|PRQ ?|PMQ
"
350,"ΓÇ¥|PMS sabi|VBS ulit|RBW ng|CCB binata|NNC .|PMP
"
351,"ΓÇ£|PMS Kung|CCR magpapatuloy|VBTR_VBAF itong|PRO_CCP mga|DTCP kaingero|NNC ,|PMC mga|DTCP maghuhukay|VBTF_VBAF ng|CCB lupa|NNC ,|PMC at|CCA mga|DTCP mamumutol|NNC kahoy|NNC ,|PMC kawawa|JJD naman|RBI nitong|PRO_CCP Anopol|NNP at|CCA Tang|NNP -|PMS id|NNCA pati|CCA na|RBI rin|RBI ang|DTC iba|PRI pang|RBI_CCP mga|DTCP nabubuhay|VBTR dito|PRL sa|CCT bukid|NNC .|PMP
"
352,"Mauubos|VBTF silang|PRP_CCP lahat|PRI .|PMP
"
353,"ΓÇ¥|PMS ΓÇ£|PMS Bukas|JJD ,|PMC bumalik|VBAF tayo|PRP upang|CCB hulihin|VBOF itong|PRO_CCP mga|DTCP naninira|VBTR nitong|PRO_CCP kabundukan|NNC ,|PMC ΓÇ¥|PMS sabi|VBS pa|RBI niya|PRS .|PMP
"
354,"Pag|CCR -|PMS alis|NNC ng|CCB mga|DTCP Bantay|NNP Bukid|NNP ,|PMC nakahinga|RBD -|PMS hinga|NNC ng|CCB malalim|JJD si|DTP Anopol|NNP at|CCA si|DTP Tang|NNP -|PMS id|NNCA .|PMP
"
355,"Alam|VBS nila|PRP ang|DTC kasagutan|NNC ng|CCB kinatatakutan|VBTR nila|PRP ,|PMC kaya|CCR noong|RBW_CCP gabi|RBW ,|PMC mapayapa|RBD nilang|PRP_CCP minasdan|VBOF ang|DTC buwan|NNC at|CCA mga|DTCP bituwin|NNC .|PMP
"
356,"May|VBH mga|DTCP naririnig|VBTR sila|PRP Anopol|NNP at|CCA Tang|NNP -|PMS id|FW sa|CCT kalagitnaan|RBW ng|CCB gabi|RBW .|PMP
"
357,"May|VBH naaamoy|VBTS silang|PRP_CCP usok|NNC sa|CCT di|RBF -|PMS kalayuan|NNC ,|PMC may|VBH nakikitang|VBTR_CCP dumadausdos|VBTR_VBAF na|CCP lupa|NNC galing|RBL sa|CCT itaas|JJD ng|CCB bukid|NNC .|PMP
"
358,"Saan|PRQ kaya|CCR ito|PRO galing|RBL ?|PMQ
"
359,"ΓÇ£|PMS Titay|NNC ,|PMC nasaan|JJD na|CCP ang|DTC pinapakuha|VBTR kong|PRS_CCP toyo|NNC at|CCA suka|NNC ?|PMQ
"
360,"tanong|NNC ng|CCB nanay|NNC .|PMP
"
361,"ΓÇ£|PMS Hindi|RBF ko|PRS po|RBS nakita|VBTS mama|NNC ,|PMC ΓÇ¥|PMS sagot|NNC ni|DTP Titay|NNP .|PMP
"
362,"ΓÇ£|PMS Hindi|RBF mo|PRS nakita|VBTS o|CCT di|RBF mo|PRS pa|RBI kinuha|VBOF sa|CCT loob|NNC ng|CCB karton|NNC ?|PMQ
"
363,"ΓÇ¥|PMS tanong|NNC ulit|RBW ng|CCB ina|NNC .|PMP
"
